Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied
Gary Trent Jr.,SG,MIL,4600,23.04,10,30,37.87,9.32,1,83.0,10.4,22.34,37,55,1,0,19.5,vs WAS,-10.5,-440,227.5,119.0
Ronald Holland II,SF/PF,DET,4600,16.83,19,30,23.01,1.83,2,77.0,1.1,18.39,134,33,0,0,12.2,@CHI,-3.5,-155,236.5,120.0
Taurean Prince,SF/PF,MIL,4500,14.24,11,30,22.51,5.93,2,79.0,0.8,9.64,104,27,0,0,17.5,vs WAS,-10.5,-440,227.5,119.0
Davion Mitchell,PG/SG,MIA,4500,21.4,10,30,37.2,17.12,1,79.0,7.1,21.76,51,58,0,0,20.9,@ORL,8.5,275,216.5,104.0
Isaiah Stewart,C,DET,4500,17.69,15,30,28.77,10.79,2,85.0,0.6,18.32,146,44,2,0,18.7,@CHI,-3.5,-155,236.5,120.0
Mitchell Robinson,C,NYK,4500,0.0,11,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,17.4,vs CLE,1.5,102,229.5,114.0
Moussa Diabate,C,CHA,4500,13.04,16,30,22.43,6.04,2,74.0,1.1,19.08,123,34,3,0,16.7,vs BKN,-5.5,-205,228.5,117.0
Mason Plumlee,C,CHA,4500,8.9,16,30,25.53,8.47,2,80.0,0.0,4.52,0,0,-1,0,16.7,vs BKN,-5.5,-205,228.5,117.0
Dean Wade,SF/PF,CLE,4500,17.35,15,30,19.085000000000004,3.28,2,76.0,1.1,18.02,123,35,-3,0,14.4,@NYK,-1.5,-122,229.5,115.5
Corey Kispert,SG/SF,WAS,4500,13.64,12,30,26.05,12.45,2,85.0,0.6,14.25,121,38,-1,0,19.6,@MIL,10.5,340,227.5,108.5
Nickeil Alexander-Walker,SG/SF,ATL,4400,18.04,13,30,27.55,5.57,2,79.0,2.0,18.77,142,39,-2,0,19.2,vs TOR,-5.5,-225,237.5,121.5
Jeremiah Fears,PG,NOP,4400,13.0,17,30,14.3,0.0,2,0.0,0.3,15.7,95,15,0,0,0.0,@MEM,3.5,145,236.5,116.5
Grant Williams,PF/C,CHA,4400,0.0,16,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,24.1,vs BKN,-5.5,-205,228.5,117.0
Brandon Clarke,PF/C,MEM,4400,0.0,23,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,18.7,vs NOP,-3.5,-175,236.5,120.0
AJ Green,SG,MIL,4400,16.95,10,30,24.12,9.85,1,70.0,0.8,18.2,130,39,10,0,14.9,vs WAS,-10.5,-440,227.5,119.0
Mike Conley,PG,MIN,4300,17.48,18,30,23.88,7.81,2,86.0,1.7,16.12,124,39,1,0,20.3,@POR,-5.5,-205,222.5,114.0
Julian Champagnie,SG/SF,SAS,4300,20.69,17,30,31.22,12.75,1,80.0,9.3,19.46,33,52,5,0,19.8,@DAL,4.5,142,223.5,109.5
Ryan Dunn,SF/PF,PHX,4300,22.89,26,30,34.25,13.54,1,75.0,9.1,22.08,37,56,6,0,15.2,vs SAC,-3.5,-170,228.5,116.0
Ben Saraf,PG,BKN,4300,15.93,23,30,17.51851851851852,0.0,1,0.0,1.4,19.54,114,18,2,0,0.0,@CHA,5.5,170,228.5,111.5
Moritz Wagner,C,ORL,4300,0.0,17,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,23.2,vs MIA,-8.5,-345,216.5,112.5
Jordan Hawkins,PG/SG,NOP,4300,11.4,15,30,28.63,9.12,2,73.0,0.3,9.39,106,26,-2,0,18.4,@MEM,3.5,145,236.5,116.5
Miles McBride,PG/SG,NYK,4300,14.42,14,30,15.09,5.5,2,76.0,1.4,18.52,103,35,1,0,18.1,vs CLE,1.5,102,229.5,114.0
Brook Lopez,C,LAC,4300,14.0,28,30,38.99,8.61,2,84.0,0.3,14.92,146,35,0,0,26.4,@UTA,-10.5,-485,225.5,118.0
Nolan Traore,PG,BKN,4200,10.0,26,30,11.0,0.0,2,0.0,0.0,4.18,0,0,1,0,0.0,@CHA,5.5,170,228.5,111.5
Patrick Williams,SF/PF,CHI,4200,15.5,12,30,26.91,7.15,2,81.0,0.6,13.16,117,33,2,0,19.1,vs DET,3.5,130,236.5,116.5
Craig Porter Jr.,PG,CLE,4200,9.92,10,30,20.53,0.0,2,59.0,1.1,15.95,97,21,-1,0,8.3,@NYK,-1.5,-122,229.5,115.5
Justin Champagnie,SF/PF,WAS,4200,10.55,12,30,41.12,8.44,2,79.0,0.3,13.65,137,30,2,0,21.0,@MIL,10.5,340,227.5,108.5
Anthony Black,PG/SG,ORL,4200,16.89,16,30,32.74,13.26,2,75.0,0.8,15.5,137,41,0,0,20.5,vs MIA,-8.5,-345,216.5,112.5
Adem Bona,PF/C,PHI,4200,16.29,18,30,39.87,13.03,2,80.0,2.6,17.35,119,43,2,0,14.6,@BOS,4.5,150,229.5,112.5
Kris Dunn,PG/SG,LAC,4200,13.74,29,30,24.96,10.88,2,81.0,0.0,11.1,0,0,5,0,18.9,@UTA,-10.5,-485,225.5,118.0
Nick Richards,C,PHX,4100,9.04,19,30,28.35,7.23,2,78.0,0.0,10.73,0,0,2,0,22.9,vs SAC,-3.5,-170,228.5,116.0
Vince Williams Jr.,SF,MEM,4100,0.0,29,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,14.3,vs NOP,-3.5,-175,236.5,120.0
Collin Murray-Boyles,PF/C,TOR,4100,0.0,10,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@ATL,5.5,185,237.5,116.0
Danny Wolf,PF/C,BKN,4000,0.0,22,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@CHA,5.5,170,228.5,111.5
Taylor Hendricks,SF/PF,UTA,4000,16.52,2,30,28.07,12.9,2,78.0,5.1,15.7,47,42,-2,0,18.1,vs LAC,10.5,370,225.5,107.5
Marcus Sasser,PG/SG,DET,4000,0.0,27,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,13.1,@CHI,-3.5,-155,236.5,120.0
Jusuf Nurkic,C,UTA,4000,16.76,3,30,33.65,12.91,2,82.0,0.6,16.7,134,43,3,0,24.6,vs LAC,10.5,370,225.5,107.5
Tre Jones,PG,CHI,4000,26.11,28,30,37.75,16.56,1,87.0,12.2,24.83,29,71,4,0,18.5,vs DET,3.5,130,236.5,116.5
Jordan Goodwin,PG/SG,PHX,4000,12.68,14,30,17.02,1.64,2,73.0,0.0,11.54,0,0,0,0,14.0,vs SAC,-3.5,-170,228.5,116.0
Ochai Agbaji,SG/SF,TOR,4000,13.74,24,30,28.78,11.56,2,80.0,0.3,12.54,110,35,7,0,20.6,@ATL,5.5,185,237.5,116.0
Jonathan Isaac,PF/C,ORL,4000,14.08,11,30,22.14,3.33,2,78.0,0.3,12.22,97,27,2,0,15.4,vs MIA,-8.5,-345,216.5,112.5
Bogdan Bogdanovic,SG/SF,LAC,4000,11.49,30,30,26.95,8.2,2,86.0,0.3,11.79,101,30,7,0,20.0,@UTA,-10.5,-485,225.5,118.0
Amir Coffey,SF/PF,MIL,4000,4.43,11,30,17.16,3.54,2,78.0,0.3,0.0,43,14,0,0,15.8,vs WAS,-10.5,-440,227.5,119.0
Jock Landale,C,MEM,4000,22.41,10,30,24.655161595485332,3.36,1,62.0,5.7,21.85,48,41,-5,0,11.0,vs NOP,-3.5,-175,236.5,120.0
Dario Saric,C,SAC,4000,18.0,22,30,20.2,0.0,2,71.0,1.1,17.99,112,31,1,0,10.4,@PHX,3.5,142,228.5,112.5
Terry Rozier,PG/SG,MIA,4000,14.76,20,30,22.66,3.71,2,84.0,0.0,9.71,0,0,4,0,20.9,@ORL,8.5,275,216.5,104.0
Goga Bitadze,C,ORL,3900,11.94,17,30,25.86,2.64,2,77.0,0.0,13.5,0,0,-1,0,21.4,vs MIA,-8.5,-345,216.5,112.5
Cole Anthony,PG/SG,MIL,3900,14.32,25,30,32.41,2.69,2,79.0,3.1,14.7,77,29,2,0,18.9,vs WAS,-10.5,-440,227.5,119.0
Cedric Coward,SG,MEM,3900,15.0,23,30,16.5,0.0,2,0.0,3.4,17.57,56,17,2,0,0.0,vs NOP,-3.5,-175,236.5,120.0
Luke Kornet,C,SAS,3900,17.52,26,30,27.95,5.33,2,71.0,3.1,19.07,81,37,3,0,17.3,@DAL,4.5,142,223.5,109.5
