Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
James Wiseman,C,IND,3000,11.11,18,30,34.29,8.77,1,77.0,0.0,17.26,0,0,3,0,0.0,@MEM,2.5,114,240.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Furphy,SG/SF,IND,3000,0.0,17,30,0.0,0.0,4,0.0,1.2,0.0,0,0,0,0,0.0,@MEM,2.5,114,240.5,119.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Rasheer Fleming,PF,PHX,3000,2.33,12,30,5.0,1.86,2,0.0,0.6,3.73,17,4,0,0,0.0,@DEN,12.5,550,233.5,110.5,0.2777777777777778,0.1111111111111111,0.0,2.5,4.5,0.0,0.0,0.1111111111111111,0.25,0.0,0.0,0.0,0.0,0.5,0.5
Hunter Sallis,SG,PHI,3000,0.0,21,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs CHA,-4.5,-192,236.5,120.5,,,,,,,,,,,,,,,
Johni Broome,C,PHI,3000,0.0,21,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,vs CHA,-4.5,-192,236.5,120.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PJ Hall,C,MEM,3000,2.7,1,30,9.25,1.06,2,6.0,0.0,1.12,0,0,3,0,13.3,vs IND,-2.5,-135,240.5,121.5,0.4732142857142857,0.25,0.0,6.625,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Tyson,SF/PF,DEN,3000,2.27,2,30,16.25,0.0,2,47.0,0.3,1.39,30,3,-4,0,0.0,vs PHX,-12.5,-800,233.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamar Bates,SG,DEN,3000,0.0,9,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs PHX,-12.5,-800,233.5,123.0,,,,,,,,,,,,,,,
Spencer Jones,SG,DEN,3000,3.35,2,30,9.3,0.0,2,43.0,2.3,4.35,22,6,3,0,1.5,vs PHX,-12.5,-800,233.5,123.0,0.25,0.1666666666666666,0.0,1.5,6.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DaRon Holmes II,C,DEN,3000,0.0,25,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,vs PHX,-12.5,-800,233.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Pickett,PG,DEN,3000,2.75,9,30,24.78,0.0,2,60.0,0.3,0.62,42,3,-1,0,0.0,vs PHX,-12.5,-800,233.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeke Nnaji,PF/C,DEN,3000,2.27,4,30,14.56,0.54,2,65.0,0.0,0.0,0,0,2,0,0.0,vs PHX,-12.5,-800,233.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Faly Dante,C,ATL,3000,2.67,5,30,22.2,2.14,2,56.99999999999999,2.3,9.36,45,11,-4,0,3.3,vs OKC,8.5,260,237.5,114.5,0.40625,0.125,0.0,1.625,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Toppin,PF,ATL,3000,3.79,29,30,9.75,0.0,2,35.0,0.0,3.8,0,0,3,0,0.0,vs OKC,8.5,260,237.5,114.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Djurisic,SF,ATL,3000,0.0,29,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs OKC,8.5,260,237.5,114.5,,,,,,,,,,,,,,,
Eli Ndiaye,C,ATL,3000,0.0,5,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs OKC,8.5,260,237.5,114.5,,,,,,,,,,,,,,,
Keaton Wallace,PG,ATL,3000,5.31,30,30,27.83,0.0,2,70.0,1.8,11.17,67,14,-5,0,4.6,vs OKC,8.5,260,237.5,114.5,0.4356060606060606,0.28282828282828276,0.0,4.625,10.0,0.75,0.0967741935483871,0.1919191919191919,0.5,0.0,0.0,0.0,0.0,3.0,0.5
Colin Castleton,C,ORL,3000,0.0,22,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs CHI,-6.5,-250,233.5,120.0,,,,,,,,,,,,,,,
Jett Howard,SF,ORL,3000,4.16,20,30,11.93,1.32,2,55.00000000000001,2.0,4.45,31,8,2,0,3.5,vs CHI,-6.5,-250,233.5,120.0,0.4375,0.375,0.0,1.75,2.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,1.5,0.5
Jamal Cain,PF,ORL,3000,2.72,20,30,25.53,1.66,2,54.0,0.3,0.0,42,7,1,0,0.0,vs CHI,-6.5,-250,233.5,120.0,,,,,,,,,,,,,,,
Jase Richardson,PG/SG,ORL,3000,0.0,24,30,0.0,0.0,2,0.0,1.2,2.86,0,0,0,0,0.0,vs CHI,-6.5,-250,233.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Penda,SF/PF,ORL,3000,0.0,20,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,vs CHI,-6.5,-250,233.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liam McNeeley,SF/PF,CHA,3000,0.0,28,30,0.0,0.0,2,0.0,0.6,1.66,0,0,0,0,0.0,@PHI,4.5,160,236.5,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Peterson,PF,CHA,3000,0.0,28,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@PHI,4.5,160,236.5,116.0,,,,,,,,,,,,,,,
Pat Connaughton,SF,CHA,3000,1.96,27,30,28.28,0.0,2,76.0,0.0,0.0,0,0,4,0,0.0,@PHI,4.5,160,236.5,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RayJ Dennis,PG,IND,3000,0.0,19,30,0.0,0.0,2,0.0,0.6,0.74,0,0,0,0,0.0,@MEM,2.5,114,240.5,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kam Jones,PG,IND,3000,0.0,17,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@MEM,2.5,114,240.5,119.0,,,,,,,,,,,,,,,
Tyrese Haliburton,PG,IND,3000,0.0,19,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@MEM,2.5,114,240.5,119.0,,,,,,,,,,,,,,,
Quenton Jackson,PG,IND,3000,0.0,17,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@MEM,2.5,114,240.5,119.0,,,,,,,,,,,,,,,
CJ Huntley,PF,PHX,3000,0.0,15,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@DEN,12.5,550,233.5,110.5,,,,,,,,,,,,,,,
Koby Brea,SG,PHX,3000,0.0,22,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@DEN,12.5,550,233.5,110.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branden Carlson,C,OKC,3000,2.3,20,30,23.57,0.0,2,59.0,0.0,1.77,0,0,7,0,0.0,@ATL,-8.5,-325,237.5,123.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Chris Youngblood,SG,OKC,3000,0.0,25,30,0.0,0.0,2,0.0,1.2,2.04,0,0,0,0,1.8,@ATL,-8.5,-325,237.5,123.0,0.2916666666666667,0.25,0.0,1.75,3.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,2.0,0.5
Nikola Topic,PG,OKC,3000,0.0,6,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@ATL,-8.5,-325,237.5,123.0,,,,,,,,,,,,,,,
Thomas Sorber,C,OKC,3000,0.0,19,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@ATL,-8.5,-325,237.5,123.0,,,,,,,,,,,,,,,
Kenrich Williams,PF/C,OKC,3000,0.0,19,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@ATL,-8.5,-325,237.5,123.0,,,,,,,,,,,,,,,
Julian Phillips,SF/PF,CHI,3000,2.61,4,30,20.3,0.0,2,69.0,0.0,0.28,0,0,2,0,0.0,@ORL,6.5,205,233.5,113.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jevon Carter,PG,CHI,3000,3.73,23,30,19.06,3.22,2,63.0,1.2,0.0,34,12,7,0,0.0,@ORL,6.5,205,233.5,113.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalen Terry,SF,CHI,3000,2.92,4,30,22.16,2.34,2,68.0,1.8,5.66,46,9,0,0,0.0,@ORL,6.5,205,233.5,113.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Lachlan Olbrich,C,CHI,3000,0.0,10,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@ORL,6.5,205,233.5,113.5,,,,,,,,,,,,,,,
Emanuel Miller,PF,CHI,3000,0.0,4,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@ORL,6.5,205,233.5,113.5,,,,,,,,,,,,,,,
Trentyn Flowers,SG,CHI,3000,0.0,4,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@ORL,6.5,205,233.5,113.5,,,,,,,,,,,,,,,
Zach Collins,C,CHI,3000,0.0,10,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,@ORL,6.5,205,233.5,113.5,,,,,,,,,,,,,,,
