Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Pat Connaughton,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1
Pat Spencer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Pelle Larsson,0.5096153846153846,0.34615384615384615,0.0,13.25,26.0,0.0,0.0,0.2692307692307692,0.6666666666666666,0.07692307692307693,1.0,1,0.0,3.0,1
Pete Nance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Quinten Post,0.275,0.2,0.0,2.75,10.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0.0,1.0,1
Riley Minix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Ryan Kalkbrenner,1.0078125,0.625,0.0,32.25,32.0,3.5,0.10852713178294573,0.40625,0.0,0.28125,0.15196702150707056,2,0.1111111111111111,3.0,0
Ryan Rollins,1.3819444444444444,1.1388888888888888,0.0,49.75,36.0,5.5,0.11055276381909548,0.8055555555555556,0.1111111111111111,0.3888888888888889,0.17165465699557242,4,0.35714285714285715,3.0,1
Shai Gilgeous-Alexander,1.6810344827586208,1.3103448275862069,0.0,48.75,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Simone Fontecchio,0.9553571428571429,0.75,0.0,26.75,28.0,0.0,0.0,0.5357142857142857,0.5,0.2857142857142857,0.1317863234865604,1,0.25,3.0,0
Sion James,0.5714285714285714,0.39285714285714285,0.0,16.0,28.0,0.0,0.0,0.32142857142857145,0.5,0.14285714285714285,0.08948973601458055,3,0.25,4.0,1
Stephen Curry,1.2,1.0285714285714285,0.0,42.0,35.0,8.25,0.19642857142857142,0.9428571428571428,0.4166666666666667,0.42857142857142855,0.17127536603130933,3,0.2,4.0,1
