Name,Position,Team,Salary,Projected,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,Vegas,VegasML,VegasTotals,VegasImplied,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Tyus Jones,PG,ORL,3400,11.38,28,30,22.59,7.13,2,84.0,2.3,11.44,67,28,2,0,7.3,@WAS,-8.5,-375,234.5,121.5,0.5736111111111111,0.33888888888888885,0.0,7.2,13.4,0.7,0.08102564102564103,0.35952380952380947,0.6799999999999999,0.04428571428571428,0.0,1.8,0.2,2.8,0.2
Bones Hyland,PG/SG,MIN,3400,10.61,24,30,15.19,3.22,2,60.0,2.3,11.48,55,21,5,0,10.4,@CHA,-4.5,-192,235.5,120.0,0.8476973684210527,0.7302631578947368,0.0,10.4,13.4,0.95,0.12031347962382444,0.6072368421052632,0.86,0.10855263157894735,0.6,2.6,0.2,2.8,0.6
Baylor Scheierman,SG/SF,BOS,3300,4.93,8,30,16.54,0.0,2,61.0,2.4,4.45,36,8,-5,0,4.4,vs HOU,5.5,164,226.5,110.5,0.45321428571428574,0.06285714285714283,0.0,4.4,7.2,0.25,0.01923076923076922,0.3852380952380952,0.4,0.0,0.0,0.0,0.0,2.2,0.6
Jonathan Isaac,PF/C,ORL,3300,6.37,27,30,22.38,1.97,2,77.0,2.4,5.5,47,13,4,0,5.1,@WAS,-8.5,-375,234.5,121.5,0.42833333333333334,0.13999999999999999,0.0,4.4,5.4,0.65,0.042622950819672115,0.31333333333333335,0.4,0.04666666666666664,0.0,1.2,0.2,1.6,0.6
KJ Simpson,PG,CHA,3200,0.0,1,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs MIN,4.5,160,235.5,115.5,,,,,,,,,,,,,,,
Tidjane Salaun,SF/PF,CHA,3200,13.14,25,30,25.22,10.94,2,76.0,2.9,8.96,52,30,0,0,12.6,vs MIN,4.5,160,235.5,115.5,0.7367943331178626,0.35773540185304886,0.0,10.5625,13.0,2.125,0.12142857142857143,0.636856280973928,0.4583333333333333,0.06470588235294118,0.02976190476190475,2.0,0.5,3.75,0.0
Clint Capela,C,HOU,3200,10.03,18,30,25.7,7.46,2,87.0,2.4,7.44,58,24,4,0,8.4,@BOS,-5.5,-198,226.5,116.0,1.1688988095238095,0.5907738095238095,0.0,8.375,8.0,0.6875,0.05188679245283018,0.8541666666666667,0.0,0.20833333333333331,0.5,1.5,0.0,1.5,0.5
Will Richard,PG,GSW,3200,12.41,15,30,16.63,8.37,2,70.0,2.4,8.51,50,25,3,0,12.5,@IND,-10.5,-500,230.5,120.5,1.0155816993464053,0.6605490196078431,0.0,12.95,13.8,2.4,0.18760252904989744,0.5385098039215686,0.65,0.0728627450980392,0.6,2.0,0.4,2.8,0.6
Noah Penda,SF/PF,ORL,3200,4.82,15,30,7.46,3.86,2,57.99999999999999,2.4,6.91,26,13,0,0,6.8,@WAS,-8.5,-375,234.5,121.5,0.3966386554621849,0.2446778711484594,0.0,4.1,7.2,0.0,0.0,0.25630252100840334,0.0,0.0284313725490196,0.0,1.2,0.2,2.6,0.0
Rob Dillingham,PG,MIN,3100,9.41,24,30,10.3514565,0.0,2,59.0,2.4,11.89,41,17,5,0,8.6,@CHA,-4.5,-192,235.5,120.0,0.44140625,0.40625,0.0,6.4375,7.25,0.0,0.0,0.22916666666666669,0.0,0.07291666666666666,0.5,0.75,0.0,1.25,0.25
Marvin Bagley III,C,WAS,3100,12.15,15,30,25.28,0.0,2,72.0,8.5,14.66,19,25,-1,0,15.0,vs ORL,8.5,295,234.5,113.0,1.073889802631579,0.6420504385964912,0.0,18.0625,16.25,1.0625,0.05189155814997752,0.7194078947368421,0.08333333333333333,0.14808114035087716,0.03841412703464015,1.75,0.05,2.25,0.0
Liam McNeeley,SF/PF,CHA,3100,7.13,3,30,15.64,4.2,2,30.0,2.4,10.31,43,14,1,0,9.9,vs MIN,4.5,160,235.5,115.5,0.49310064935064934,0.31493506493506496,0.0,6.375,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Payton II,PG/SF,GSW,3100,5.75,15,30,16.41,2.53,2,77.0,2.4,6.2,37,13,3,0,6.8,@IND,-10.5,-500,230.5,120.5,0.6757142857142858,0.2166666666666667,0.0,5.65,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Reeves,SG,CHA,3000,0.0,3,30,0.0,0.0,4,0.0,0.0,0.0,0,0,0,0,0.0,vs MIN,4.5,160,235.5,115.5,,,,,,,,,,,,,,,
Mason Plumlee,C,CHA,3000,2.6,3,30,24.63,2.08,2,80.0,0.0,0.0,0,0,-1,0,3.0,vs MIN,4.5,160,235.5,115.5,0.075,0.05,0.0,0.375,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Ron Harper Jr.,SF,BOS,3000,0.0,29,30,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,vs HOU,5.5,164,226.5,110.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
