Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
79,4953134850,idlove2win (109/150),0,306.5,C Jeremiah Robinson-Earl F Tim Hardaway Jr. G Austin Reaves PF Aaron Gordon PG Andrew Nembhard SF RJ Barrett SG Anthony Edwards UTIL Moussa Diabate,,Rui Hachimura,F,0.06%,0
82,4952277760,cheddabisque (6/150),0,306.25,C Naz Reid F Aaron Gordon G Jamal Murray PF Jeremiah Robinson-Earl PG Andrew Nembhard SF Tim Hardaway Jr. SG AJ Green UTIL Luka Doncic,,Terrence Shannon Jr.,F,0.06%,0
82,4952750713,JadedOne1 (1/50),0,306.25,C Branden Carlson F Aaron Gordon G Jamal Murray PF Naz Reid PG Bronny James SF Tim Hardaway Jr. SG Anthony Edwards UTIL Luka Doncic,,Jaylin Williams,C,0.06%,0
82,4952960465,plunkerz,0,306.25,C Jonas Valanciunas F Aaron Gordon G Bruce Brown PF Julius Randle PG Shai Gilgeous-Alexander SF Tim Hardaway Jr. SG Anthony Edwards UTIL Naz Reid,,Maxi Kleber,PF,0.06%,9.25
85,4952772407,tinderella (46/150),0,305.75,C Jakob Poeltl F Aaron Gordon G Anthony Edwards PF Jeremiah Robinson-Earl PG Luka Doncic SF Tim Hardaway Jr. SG Isaiah Joe UTIL Moussa Diabate,,Antonio Reeves,SF,0.05%,13
85,4953012851,Jake54321,0,305.75,C Moussa Diabate F Aaron Gordon G Isaiah Joe PF Julius Randle PG Andrew Nembhard SF Tim Hardaway Jr. SG Austin Reaves UTIL Deandre Ayton,,Brooks Barnhizer,F,0.04%,9.75
85,4953142982,jp3333333,0,305.75,C Jakob Poeltl F Tim Hardaway Jr. G Austin Reaves PF Aaron Gordon PG Ryan Rollins SF Jaden McDaniels SG Anthony Edwards UTIL Naz Reid,,Amir Coffey,UTIL,0.04%,3.5
85,4953172744,RubioDimes (64/150),0,305.75,C Jakob Poeltl F Aaron Gordon G Anthony Edwards PF Jeremiah Robinson-Earl PG Luka Doncic SF Tim Hardaway Jr. SG Isaiah Joe UTIL Moussa Diabate,,Kevin Porter Jr.,G,0.04%,0
89,4951837704,FlyBoysGangGreen,0,305.5,C Moussa Diabate F Dalton Knecht G Anthony Edwards PF Aaron Gordon PG Jamal Murray SF Kon Knueppel SG AJ Green UTIL Julius Randle,,Tidjane Salaun,F,0.03%,0
89,4952144463,nonogreen (32/40),0,305.5,C Jonas Valanciunas F Aaron Gordon G Andrew Nembhard PF Julius Randle PG Jamal Murray SF Tim Hardaway Jr. SG Anthony Edwards UTIL Isaiah Joe,,Mason Plumlee,C,0.03%,2.75
89,4952921032,davis2543 (1/20),0,305.5,C Branden Carlson F Jaden McDaniels G Luka Doncic PF Aaron Gordon PG Andrew Nembhard SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Zeke Nnaji,C,0.03%,0
89,4953144076,jaysocold (11/20),0,305.5,C Jonas Valanciunas F Aaron Gordon G Jamal Murray PF Naz Reid PG Ryan Rollins SF Tim Hardaway Jr. SG Anthony Edwards UTIL Julius Randle,,Jericho Sims,C,0.03%,8
93,4952813303,andrewmontoya,0,305.25,C Moussa Diabate F Aaron Gordon G Jamal Murray PF Chet Holmgren PG T.J. McConnell SF Dalton Knecht SG Gradey Dick UTIL Luka Doncic,,Johnny Juzang,F,0.03%,0
93,4952870273,eyeseeyou12 (86/100),0,305.25,C Moussa Diabate F Naz Reid G Jamal Murray PF Aaron Gordon PG Jamal Shead SF Jaden McDaniels SG Bruce Brown UTIL Nikola Jokic,,Jamison Battle,PF,0.03%,0
93,4953126335,JBADSSA (2/5),0,305.25,C Jakob Poeltl F Aaron Gordon G Anthony Edwards PF Jeremiah Robinson-Earl PG Luka Doncic SF Jaden McDaniels SG Tim Hardaway Jr. UTIL Jonas Valanciunas,,Thanasis Antetokounmpo,C,0.02%,3.25
96,4952901455,zoltar91282 (69/150),0,305,C Moussa Diabate F Aaron Gordon G Jamal Murray PF Giannis Antetokounmpo PG KJ Simpson SF Tim Hardaway Jr. SG Anthony Edwards UTIL Tony Bradley,,Bones Hyland,SG,0.02%,0
96,4952942032,Sampit16 (2/2),0,305,C Jakob Poeltl F Jeremiah Robinson-Earl G Ajay Mitchell PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Anthony Edwards UTIL Andrew Nembhard,,Leonard Miller,F,0.02%,0
96,4953172747,RubioDimes (67/150),0,305,C Moussa Diabate F Aaron Gordon G Tim Hardaway Jr. PF Julius Randle PG Jamal Murray SF Peyton Watson SG Austin Reaves UTIL Ryan Rollins,,Joe Ingles,SF,0.02%,0
99,4952192955,Yougotit39 (5/13),0,304.75,C Jonas Valanciunas F Tim Hardaway Jr. G Immanuel Quickley PF Aaron Gordon PG Jamal Murray SF RJ Barrett SG Anthony Edwards UTIL Jakob Poeltl,,Andre Jackson Jr.,SF,0.01%,0.5
99,4952285255,bgreseth (121/150),0,304.75,C Jakob Poeltl F Tim Hardaway Jr. G Jamal Murray PF Aaron Gordon PG Immanuel Quickley SF RJ Barrett SG Anthony Edwards UTIL Jonas Valanciunas,,Chris Youngblood,G,0.01%,0
99,4952690796,Kaiserm2003,0,304.75,C Isaiah Jackson F Aaron Gordon G Anthony Edwards PF Julius Randle PG Austin Reaves SF Peyton Watson SG Tim Hardaway Jr. UTIL Jakob Poeltl,,Hunter Tyson,F,0.01%,0
99,4952760021,gbecz,0,304.75,C Jakob Poeltl F Aaron Gordon G Tim Hardaway Jr. PF Julius Randle PG Austin Reaves SF Peyton Watson SG Anthony Edwards UTIL Isaiah Jackson,,DaRon Holmes II,C,0.01%,0
99,4952880459,loegs14 (117/150),0,304.75,C Naz Reid F Aaron Gordon G Tim Hardaway Jr. PF Jeremiah Robinson-Earl PG Jamal Murray SF Jarace Walker SG Anthony Edwards UTIL Julius Randle,,LaMelo Ball,G,0.01%,0
104,4952820257,ocdobv (17/20),0,304.5,C Moussa Diabate F Julius Randle G Anthony Edwards PF Aaron Gordon PG Donte DiVincenzo SF Tim Hardaway Jr. SG Isaiah Joe UTIL Jamal Murray,,Alex Antetokounmpo,PF,0.01%,0
105,4951766094,AaronCosta (91/150),0,304.25,C Jakob Poeltl F Julius Randle G Andrew Nembhard PF Aaron Gordon PG Immanuel Quickley SF Tim Hardaway Jr. SG Anthony Edwards UTIL Jonas Valanciunas,,Taelon Peter,SG,0.01%,16.75
106,4952285235,bgreseth (101/150),0,304,C Jonas Valanciunas F Naz Reid G Ryan Rollins PF Aaron Gordon PG Jamal Murray SF Tim Hardaway Jr. SG Anthony Edwards UTIL Austin Reaves,,Pete Nance,C,0.01%,0
106,4952828551,3rd_and_schlong (4/150),0,304,C Moussa Diabate F Aaron Gordon G Ryan Rollins PF Naz Reid PG Jamal Shead SF Tim Hardaway Jr. SG Austin Reaves UTIL Luka Doncic,,Jalen Pickett,G,0.01%,0
106,4952860249,44scorcher (66/150),0,304,C Moussa Diabate F Naz Reid G Luka Doncic PF Aaron Gordon PG Jamal Shead SF Tim Hardaway Jr. SG Austin Reaves UTIL Ryan Rollins,,Enrique Freeman,PF,0.01%,0
